monthly_rent (€),number_of_bedrooms,number_of_bathrooms,Density per sq km,Average Income (€)
2400.0,3.0,1.0,1581.5,60804.0
2413.0,2.0,2.0,1581.5,60804.0
2417.0,2.0,2.0,1581.5,60804.0
2424.0,2.0,2.0,1581.5,60804.0
2425.0,2.0,2.0,1581.5,60804.0
2426.0,2.0,2.0,1581.5,60804.0
2448.0,4.0,3.0,146.2,55861.0
2450.0,3.0,2.0,76.9,55361.0
2450.0,1.0,1.0,1581.5,60804.0
2450.0,2.0,2.0,1581.5,60804.0
2450.0,2.0,1.0,1581.5,60804.0
2450.0,2.0,2.0,1581.5,60804.0
2450.0,2.0,1.0,1581.5,60804.0
2450.0,4.0,3.0,45.1,48765.0
2450.0,1.0,1.0,1581.5,60804.0
2450.0,2.0,2.0,1581.5,60804.0
2460.0,3.0,1.0,1581.5,60804.0
2461.0,2.0,2.0,1581.5,60804.0
2462.0,4.0,2.0,77.5,52284.0
2462.0,2.0,1.0,1581.5,60804.0
2465.0,2.0,1.0,1581.5,60804.0
2475.0,2.0,1.0,1581.5,60804.0
2475.0,2.0,1.0,1581.5,60804.0
2475.0,1.0,1.0,1581.5,60804.0
2495.0,2.0,2.0,1581.5,60804.0
2495.0,3.0,4.0,37.1,48576.0
2495.0,2.0,2.0,1581.5,60804.0
2495.0,2.0,2.0,1581.5,60804.0
2499.0,2.0,1.0,1581.5,60804.0
2500.0,1.0,1.0,1581.5,60804.0
2500.0,3.0,1.0,76.9,55361.0
2500.0,4.0,3.0,53.4,46563.0
2500.0,3.0,1.0,146.2,55861.0
2500.0,3.0,1.0,52.3,46782.0
2500.0,3.0,1.0,76.0,49272.0
2500.0,5.0,5.0,32.5,42674.0
2500.0,3.0,1.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,4.0,3.0,52.3,46782.0
2500.0,6.0,5.0,53.4,46563.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,4.0,4.0,24.7,43480.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,3.0,3.0,76.0,49272.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,4.0,4.0,24.7,43480.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,3.0,146.2,55861.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,3.0,1.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,4.0,6.0,52.3,46782.0
2500.0,4.0,5.0,42.3,43183.0
2500.0,3.0,3.0,77.5,52284.0
2500.0,3.0,2.0,94.3,53018.0
2500.0,3.0,3.0,77.5,52284.0
2500.0,4.0,4.0,42.3,43183.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,3.0,3.0,77.5,52284.0
2500.0,3.0,1.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,1.0,1.0,1581.5,60804.0
2500.0,2.0,2.0,45.1,48765.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,4.0,3.0,39.0,44678.0
2500.0,4.0,3.0,45.1,48765.0
2500.0,3.0,2.0,45.1,48765.0
2500.0,4.0,1.0,45.1,48765.0
2500.0,2.0,1.0,76.0,49272.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,3.0,2.0,1581.5,60804.0
2500.0,3.0,1.0,1581.5,60804.0
2500.0,4.0,3.0,50.2,46510.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,2.0,1.0,76.9,55361.0
2500.0,2.0,1.0,146.2,55861.0
2500.0,4.0,2.0,76.0,49272.0
2500.0,4.0,2.0,76.0,49272.0
2500.0,5.0,2.0,68.6,46308.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,4.0,3.0,39.0,44678.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,4.0,4.0,77.5,52284.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,3.0,3.0,146.2,55861.0
2500.0,3.0,2.0,1581.5,60804.0
2500.0,3.0,3.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,3.0,2.0,1581.5,60804.0
2500.0,2.0,1.0,77.5,52284.0
2503.0,2.0,1.0,1581.5,60804.0
2510.0,2.0,1.0,1581.5,60804.0
2520.0,2.0,2.0,1581.5,60804.0
2525.0,2.0,2.0,1581.5,60804.0
2533.0,3.0,1.0,1581.5,60804.0
2535.0,2.0,2.0,1581.5,60804.0
2540.0,1.0,1.0,1581.5,60804.0
2548.0,2.0,1.0,1581.5,60804.0
2550.0,3.0,1.0,94.3,53018.0
2550.0,3.0,2.0,77.5,52284.0
2550.0,2.0,1.0,1581.5,60804.0
2557.0,2.0,1.0,1581.5,60804.0
2568.0,2.0,1.0,1581.5,60804.0
2580.0,2.0,1.0,1581.5,60804.0
2586.0,2.0,2.0,1581.5,60804.0
2595.0,2.0,1.0,1581.5,60804.0
2595.0,1.0,1.0,1581.5,60804.0
2595.0,2.0,1.0,1581.5,60804.0
2597.0,3.0,2.0,1581.5,60804.0
2600.0,3.0,2.0,146.2,55861.0
2600.0,3.0,3.0,146.2,55861.0
2600.0,3.0,2.0,76.0,49272.0
2600.0,4.0,3.0,146.2,55861.0
2600.0,3.0,1.0,1581.5,60804.0
2600.0,3.0,3.0,77.5,52284.0
2600.0,7.0,4.0,77.5,52284.0
2600.0,3.0,2.0,1581.5,60804.0
2600.0,2.0,3.0,1581.5,60804.0
2600.0,3.0,1.0,1581.5,60804.0
2600.0,2.0,3.0,1581.5,60804.0
2600.0,2.0,2.0,146.2,55861.0
2600.0,2.0,2.0,45.1,48765.0
2600.0,2.0,1.0,1581.5,60804.0
2600.0,2.0,1.0,1581.5,60804.0
2600.0,2.0,2.0,1581.5,60804.0
2600.0,3.0,1.0,1581.5,60804.0
2600.0,2.0,2.0,1581.5,60804.0
2600.0,4.0,3.0,76.0,49272.0
2600.0,2.0,2.0,1581.5,60804.0
2600.0,2.0,2.0,1581.5,60804.0
2600.0,2.0,1.0,1581.5,60804.0
2600.0,1.0,1.0,1581.5,60804.0
2600.0,2.0,1.0,1581.5,60804.0
2600.0,2.0,2.0,1581.5,60804.0
2600.0,2.0,1.0,1581.5,60804.0
2600.0,3.0,2.0,1581.5,60804.0
2607.0,2.0,2.0,45.1,48765.0
2607.0,4.0,1.0,69.3,42906.0
2607.0,1.0,1.0,1581.5,60804.0
2608.0,3.0,3.0,77.5,52284.0
2608.0,4.0,3.0,76.9,55361.0
2611.0,3.0,2.0,1581.5,60804.0
2613.0,3.0,3.0,146.2,55861.0
2613.0,2.0,2.0,1581.5,60804.0
2618.0,4.0,2.0,77.5,52284.0
2630.0,3.0,3.0,77.5,52284.0
2631.0,4.0,2.0,1581.5,60804.0
2633.0,2.0,2.0,1581.5,60804.0
2650.0,2.0,2.0,1581.5,60804.0
2650.0,4.0,2.0,94.3,53018.0
2650.0,3.0,3.0,169.1,45905.0
2650.0,2.0,2.0,1581.5,60804.0
2650.0,3.0,1.0,1581.5,60804.0
2650.0,2.0,2.0,76.9,55361.0
2653.0,2.0,2.0,1581.5,60804.0
2655.0,2.0,1.0,1581.5,60804.0
2680.0,3.0,3.0,146.2,55861.0
2690.0,1.0,1.0,1581.5,60804.0
2695.0,2.0,1.0,1581.5,60804.0
2699.0,3.0,1.0,1581.5,60804.0
2700.0,3.0,3.0,76.0,49272.0
2700.0,4.0,3.0,146.2,55861.0
2700.0,2.0,1.0,1581.5,60804.0
2700.0,3.0,2.0,1581.5,60804.0
2700.0,3.0,3.0,1581.5,60804.0
2700.0,2.0,1.0,1581.5,60804.0
2700.0,2.0,1.0,1581.5,60804.0
2700.0,3.0,2.0,1581.5,60804.0
2700.0,4.0,3.0,76.9,55361.0
2700.0,3.0,1.0,1581.5,60804.0
2700.0,4.0,2.0,45.1,48765.0
2700.0,3.0,3.0,76.0,49272.0
2700.0,3.0,3.0,1581.5,60804.0
2700.0,3.0,2.0,1581.5,60804.0
2700.0,2.0,2.0,1581.5,60804.0
2700.0,2.0,1.0,1581.5,60804.0
2700.0,3.0,1.0,1581.5,60804.0
2700.0,5.0,3.0,50.2,46510.0
2704.0,3.0,3.0,1581.5,60804.0
2707.0,2.0,3.0,1581.5,60804.0
2710.0,2.0,1.0,1581.5,60804.0
2750.0,4.0,2.0,77.5,52284.0
2750.0,4.0,3.0,76.9,55361.0
2750.0,1.0,1.0,1581.5,60804.0
2750.0,2.0,2.0,1581.5,60804.0
2750.0,1.0,1.0,1581.5,60804.0
2750.0,1.0,1.0,1581.5,60804.0
2750.0,2.0,1.0,1581.5,60804.0
2750.0,2.0,2.0,1581.5,60804.0
2750.0,4.0,3.0,52.3,46782.0
2750.0,3.0,2.0,1581.5,60804.0
2750.0,3.0,3.0,1581.5,60804.0
2750.0,4.0,2.0,76.0,49272.0
2750.0,3.0,1.0,76.9,55361.0
2750.0,2.0,2.0,1581.5,60804.0
2750.0,2.0,2.0,1581.5,60804.0
2750.0,3.0,2.0,1581.5,60804.0
2750.0,3.0,3.0,1581.5,60804.0
2750.0,4.0,2.0,76.0,49272.0
2750.0,3.0,1.0,76.9,55361.0
2755.0,2.0,2.0,1581.5,60804.0
2607.0,3.0,2.0,1581.5,60804.0
2786.0,3.0,1.0,1581.5,60804.0
2791.0,2.0,2.0,1581.5,60804.0
2795.0,2.0,2.0,1581.5,60804.0
2800.0,3.0,1.0,1581.5,60804.0
2800.0,4.0,3.0,77.5,52284.0
2800.0,4.0,3.0,45.1,48765.0
2800.0,3.0,3.0,1581.5,60804.0
2800.0,2.0,2.0,45.1,48765.0
2800.0,2.0,2.0,1581.5,60804.0
2800.0,3.0,2.0,1581.5,60804.0
2800.0,3.0,1.0,1581.5,60804.0
2800.0,5.0,3.0,146.2,55861.0
2800.0,3.0,3.0,1581.5,60804.0
2800.0,4.0,3.0,77.5,52284.0
2800.0,3.0,3.0,94.3,53018.0
2800.0,4.0,5.0,52.3,46782.0
2800.0,3.0,2.0,1581.5,60804.0
2800.0,2.0,2.0,1581.5,60804.0
2800.0,2.0,1.0,1581.5,60804.0
2800.0,2.0,2.0,1581.5,60804.0
2800.0,5.0,2.0,77.5,52284.0
2800.0,3.0,1.0,1581.5,60804.0
2800.0,3.0,1.0,1581.5,60804.0
2800.0,2.0,2.0,1581.5,60804.0
2800.0,4.0,3.0,146.2,55861.0
2800.0,3.0,3.0,77.5,52284.0
2800.0,2.0,2.0,1581.5,60804.0
2800.0,2.0,2.0,1581.5,60804.0
2800.0,3.0,2.0,1581.5,60804.0
2800.0,3.0,3.0,1581.5,60804.0
2800.0,3.0,2.0,1581.5,60804.0
2800.0,2.0,2.0,1581.5,60804.0
2800.0,4.0,3.0,76.0,49272.0
2800.0,4.0,3.0,76.0,49272.0
2800.0,2.0,1.0,1581.5,60804.0
2800.0,3.0,1.0,1581.5,60804.0
2800.0,3.0,2.0,1581.5,60804.0
2800.0,4.0,1.0,1581.5,60804.0
2800.0,4.0,3.0,1581.5,60804.0
2800.0,4.0,4.0,76.0,49272.0
2800.0,2.0,2.0,1581.5,60804.0
2806.0,2.0,1.0,1581.5,60804.0
2809.0,2.0,2.0,1581.5,60804.0
2815.0,4.0,3.0,146.2,55861.0
2817.0,2.0,1.0,1581.5,60804.0
2825.0,3.0,3.0,1581.5,60804.0
2839.0,3.0,3.0,146.2,55861.0
2839.0,2.0,2.0,1581.5,60804.0
2850.0,4.0,4.0,76.0,49272.0
2850.0,2.0,2.0,1581.5,60804.0
2850.0,2.0,2.0,1581.5,60804.0
2850.0,2.0,2.0,1581.5,60804.0
2850.0,2.0,1.0,1581.5,60804.0
2850.0,2.0,1.0,1581.5,60804.0
2850.0,1.0,1.0,1581.5,60804.0
2850.0,4.0,2.0,1581.5,60804.0
2853.0,2.0,2.0,1581.5,60804.0
2900.0,3.0,1.0,1581.5,60804.0
2900.0,8.0,4.0,32.5,42674.0
2900.0,3.0,1.0,1581.5,60804.0
2900.0,5.0,4.0,94.3,53018.0
2900.0,2.0,1.0,1581.5,60804.0
2900.0,3.0,2.0,37.1,48576.0
2900.0,3.0,2.0,1581.5,60804.0
2900.0,3.0,2.0,76.9,55361.0
2900.0,4.0,4.0,146.2,55861.0
2900.0,2.0,2.0,1581.5,60804.0
2900.0,2.0,2.0,1581.5,60804.0
2917.0,2.0,2.0,1581.5,60804.0
2919.0,4.0,3.0,146.2,55861.0
2930.0,3.0,2.0,1581.5,60804.0
2940.0,2.0,2.0,1581.5,60804.0
2940.0,3.0,3.0,76.9,55361.0
2942.0,2.0,1.0,1581.5,60804.0
2949.0,3.0,3.0,1581.5,60804.0
2950.0,3.0,3.0,1581.5,60804.0
2950.0,5.0,5.0,77.5,52284.0
2950.0,2.0,2.0,1581.5,60804.0
2950.0,2.0,1.0,1581.5,60804.0
2950.0,4.0,3.0,1581.5,60804.0
2950.0,2.0,1.0,76.9,55361.0
2950.0,3.0,2.0,76.9,55361.0
2950.0,1.0,1.0,1581.5,60804.0
2950.0,1.0,1.0,1581.5,60804.0
2952.0,3.0,1.0,1581.5,60804.0
2975.0,3.0,3.0,1581.5,60804.0
2975.0,2.0,2.0,1581.5,60804.0
2975.0,2.0,3.0,77.5,52284.0
2990.0,3.0,3.0,76.9,55361.0
2995.0,3.0,2.0,1581.5,60804.0
2995.0,2.0,2.0,1581.5,60804.0
2995.0,3.0,1.0,1581.5,60804.0
2999.0,2.0,2.0,1581.5,60804.0
3000.0,4.0,2.0,146.2,55861.0
3000.0,6.0,6.0,45.1,48765.0
3000.0,3.0,3.0,76.0,49272.0
3000.0,4.0,3.0,146.2,55861.0
3000.0,3.0,3.0,77.5,52284.0
3000.0,6.0,6.0,34.4,39156.0
3000.0,4.0,3.0,76.0,49272.0
3000.0,4.0,3.0,32.5,42674.0
3000.0,4.0,4.0,1581.5,60804.0
3000.0,2.0,2.0,1581.5,60804.0
3000.0,4.0,4.0,77.5,52284.0
3000.0,2.0,2.0,1581.5,60804.0
3000.0,4.0,2.0,1581.5,60804.0
3000.0,4.0,3.0,39.0,44678.0
3000.0,3.0,2.0,45.1,48765.0
3000.0,4.0,4.0,77.5,52284.0
3000.0,2.0,2.0,1581.5,60804.0
3000.0,3.0,2.0,1581.5,60804.0
3000.0,3.0,2.0,76.9,55361.0
3000.0,3.0,1.0,1581.5,60804.0
3000.0,3.0,2.0,1581.5,60804.0
3000.0,4.0,3.0,39.0,44678.0
3000.0,2.0,2.0,1581.5,60804.0
3000.0,3.0,2.0,1581.5,60804.0
3000.0,2.0,2.0,1581.5,60804.0
3000.0,2.0,2.0,1581.5,60804.0
3000.0,4.0,3.0,45.1,48765.0
3000.0,3.0,2.0,45.1,48765.0
3000.0,4.0,3.0,94.3,53018.0
3000.0,4.0,2.0,146.2,55861.0
3000.0,3.0,3.0,76.9,55361.0
3000.0,3.0,2.0,1581.5,60804.0
3000.0,2.0,2.0,1581.5,60804.0
3000.0,3.0,2.0,1581.5,60804.0
3011.0,2.0,2.0,1581.5,60804.0
3017.0,2.0,2.0,1581.5,60804.0
3018.0,2.0,2.0,1581.5,60804.0
3024.0,4.0,2.0,1581.5,60804.0
3041.5,1.0,1.0,1581.5,60804.0
3079.0,3.0,3.0,1581.5,60804.0
3079.0,3.0,3.0,1581.5,60804.0
3079.0,3.0,3.0,1581.5,60804.0
3081.0,4.0,2.0,1581.5,60804.0
3081.0,2.0,2.0,1581.5,60804.0
3100.0,3.0,3.0,1581.5,60804.0
3100.0,3.0,2.0,1581.5,60804.0
3100.0,3.0,3.0,1581.5,60804.0
3100.0,2.0,2.0,1581.5,60804.0
3100.0,2.0,2.0,1581.5,60804.0
3100.0,2.0,1.0,1581.5,60804.0
3100.0,2.0,1.0,1581.5,60804.0
3100.0,2.0,1.0,1581.5,60804.0
3114.0,3.0,2.0,1581.5,60804.0
3120.0,3.0,2.0,1581.5,60804.0
3150.0,3.0,2.0,146.2,55861.0
3150.0,2.0,3.0,1581.5,60804.0
3150.0,3.0,2.0,1581.5,60804.0
3171.0,2.0,2.0,1581.5,60804.0
3195.0,4.0,4.0,146.2,55861.0
3200.0,3.0,2.0,1581.5,60804.0
3200.0,5.0,4.0,94.3,53018.0
3200.0,5.0,3.0,45.1,48765.0
3200.0,3.0,2.0,146.2,55861.0
3200.0,4.0,2.0,77.5,52284.0
3200.0,3.0,2.0,1581.5,60804.0
3200.0,4.0,2.0,1581.5,60804.0
3200.0,2.0,2.0,1581.5,60804.0
3200.0,4.0,3.0,1581.5,60804.0
3200.0,2.0,1.0,1581.5,60804.0
3200.0,3.0,2.0,1581.5,60804.0
3200.0,3.0,2.0,1581.5,60804.0
3200.0,2.0,2.0,1581.5,60804.0
3250.0,3.0,2.0,1581.5,60804.0
3250.0,2.0,2.0,1581.5,60804.0
3250.0,3.0,2.0,1581.5,60804.0
3250.0,2.0,2.0,1581.5,60804.0
3250.0,3.0,3.0,146.2,55861.0
3250.0,4.0,1.0,1581.5,60804.0
3250.0,3.0,1.0,1581.5,60804.0
3250.0,3.0,1.0,1581.5,60804.0
3258.75,2.0,2.0,45.1,48765.0
3300.0,3.0,2.0,1581.5,60804.0
3300.0,2.0,2.0,1581.5,60804.0
3300.0,4.0,2.0,146.2,55861.0
3300.0,3.0,1.0,1581.5,60804.0
3300.0,4.0,3.0,76.9,55361.0
3308.0,3.0,3.0,1581.5,60804.0
3315.0,2.0,2.0,1581.5,60804.0
3349.0,2.0,2.0,1581.5,60804.0
3350.0,3.0,1.0,1581.5,60804.0
3350.0,3.0,2.0,1581.5,60804.0
3350.0,3.0,2.0,1581.5,60804.0
3351.0,4.0,2.0,1581.5,60804.0
3360.0,4.0,3.0,45.1,48765.0
3380.0,3.0,3.0,76.9,55361.0
3400.0,3.0,2.0,1581.5,60804.0
3400.0,4.0,3.0,1581.5,60804.0
3400.0,4.0,2.0,76.0,49272.0
3400.0,4.0,2.0,1581.5,60804.0
3400.0,4.0,3.0,1581.5,60804.0
3400.0,3.0,3.0,1581.5,60804.0
3408.0,4.0,3.0,1581.5,60804.0
3430.0,2.0,2.0,1581.5,60804.0
3437.0,2.0,2.0,1581.5,60804.0
3450.0,2.0,2.0,1581.5,60804.0
3495.0,4.0,2.0,76.9,55361.0
3495.0,3.0,1.0,1581.5,60804.0
3498.0,2.0,2.0,1581.5,60804.0
3500.0,2.0,1.0,1581.5,60804.0
3500.0,4.0,1.0,1581.5,60804.0
3500.0,3.0,2.0,1581.5,60804.0
3500.0,3.0,1.0,1581.5,60804.0
3500.0,5.0,3.0,76.9,55361.0
3500.0,3.0,3.0,1581.5,60804.0
3500.0,2.0,2.0,1581.5,60804.0
3500.0,2.0,2.0,1581.5,60804.0
3500.0,2.0,2.0,1581.5,60804.0
3500.0,2.0,2.0,1581.5,60804.0
3500.0,3.0,2.0,1581.5,60804.0
3500.0,3.0,2.0,1581.5,60804.0
3500.0,2.0,2.0,1581.5,60804.0
3500.0,5.0,4.0,169.1,45905.0
3500.0,2.0,2.0,1581.5,60804.0
3500.0,2.0,3.0,1581.5,60804.0
3500.0,5.0,4.0,77.5,52284.0
3500.0,2.0,2.0,1581.5,60804.0
3500.0,3.0,2.0,1581.5,60804.0
3500.0,4.0,2.0,1581.5,60804.0
3500.0,4.0,4.0,76.0,49272.0
3500.0,2.0,2.0,1581.5,60804.0
3500.0,4.0,3.0,77.5,52284.0
3500.0,3.0,1.0,76.9,55361.0
3500.0,3.0,2.0,1581.5,60804.0
3500.0,4.0,3.0,1581.5,60804.0
3500.0,6.0,4.0,169.1,45905.0
3500.0,2.0,3.0,1581.5,60804.0
3500.0,3.0,3.0,1581.5,60804.0
3570.0,4.0,2.0,1581.5,60804.0
3600.0,3.0,2.0,1581.5,60804.0
3600.0,4.0,3.0,45.1,48765.0
3600.0,5.0,4.0,77.5,52284.0
3650.0,3.0,2.0,1581.5,60804.0
3672.0,2.0,1.0,1581.5,60804.0
3693.0,2.0,3.0,1581.5,60804.0
3693.25,4.0,2.0,94.3,53018.0
3700.0,2.0,2.0,1581.5,60804.0
3700.0,4.0,1.0,1581.5,60804.0
3730.0,2.0,2.0,1581.5,60804.0
3736.7,4.0,4.0,76.0,49272.0
3750.0,3.0,2.0,1581.5,60804.0
3750.0,3.0,2.0,1581.5,60804.0
3750.0,4.0,2.0,1581.5,60804.0
3750.0,5.0,6.0,52.3,46782.0
3750.0,4.0,3.0,32.5,42674.0
3750.0,2.0,2.0,1581.5,60804.0
3800.0,4.0,4.0,146.2,55861.0
3800.0,4.0,2.0,77.5,52284.0
3800.0,2.0,2.0,1581.5,60804.0
3800.0,3.0,2.0,1581.5,60804.0
3800.0,4.0,1.0,1581.5,60804.0
3850.0,2.0,2.0,1581.5,60804.0
3850.0,3.0,1.0,1581.5,60804.0
3850.0,4.0,1.0,1581.5,60804.0
3900.0,3.0,2.0,1581.5,60804.0
3900.0,4.0,2.0,146.2,55861.0
3950.0,4.0,3.0,1581.5,60804.0
3950.0,3.0,1.0,1581.5,60804.0
3985.0,3.0,3.0,1581.5,60804.0
3986.0,4.0,3.0,1581.5,60804.0
3986.0,3.0,2.0,1581.5,60804.0
3995.0,5.0,3.0,45.1,48765.0
4000.0,5.0,3.0,77.5,52284.0
4000.0,2.0,2.0,1581.5,60804.0
4000.0,3.0,4.0,76.9,55361.0
4000.0,5.0,2.0,1581.5,60804.0
4000.0,17.0,6.0,39.0,44678.0
4000.0,8.0,7.0,45.1,48765.0
4000.0,2.0,2.0,1581.5,60804.0
4000.0,5.0,4.0,169.1,45905.0
4000.0,2.0,2.0,1581.5,60804.0
4000.0,4.0,2.0,1581.5,60804.0
4000.0,2.0,2.0,1581.5,60804.0
4000.0,4.0,2.0,1581.5,60804.0
4000.0,2.0,2.0,1581.5,60804.0
4000.0,4.0,3.0,1581.5,60804.0
4000.0,4.0,4.0,1581.5,60804.0
4000.0,5.0,3.0,45.1,48765.0
4004.0,3.0,2.0,1581.5,60804.0
4093.0,3.0,3.0,1581.5,60804.0
4100.0,4.0,4.0,1581.5,60804.0
4134.0,3.0,4.0,1581.5,60804.0
4134.0,3.0,4.0,1581.5,60804.0
4150.0,4.0,2.0,1581.5,60804.0
4200.0,2.0,2.0,1581.5,60804.0
4200.0,3.0,2.0,1581.5,60804.0
4200.0,6.0,4.0,76.0,49272.0
4250.0,5.0,1.0,1581.5,60804.0
4250.0,3.0,3.0,1581.5,60804.0
4271.0,3.0,2.0,1581.5,60804.0
4301.55,2.0,1.0,76.9,55361.0
4345.0,2.0,2.0,1581.5,60804.0
4350.0,5.0,3.0,1581.5,60804.0
4350.0,4.0,3.0,1581.5,60804.0
4350.0,3.0,2.0,1581.5,60804.0
